n,measured_id_error,theory
1,0.921580,0.921875
2,0.637321,0.638025
3,0.207512,0.214967
4,0.045167,0.048773
5,0.009500,0.010014
6,0.002250,0.002013
7,0.000250,0.000403
8,0.000000,0.000081
10,0.000000,0.000003
14,0.000000,0.000000
20,0.000000,0.000000
